"id","number","code","pic"
"1","700","G","img/gold.png"
"2","610","G","img/gold.png"
"3","601","G","img/gold.png"
"4","520","G","img/gold.png"
"5","511","G","img/gold.png"
"6","502","G","img/gold.png"
"7","430","GS","img/gold-silver.png"
"8","421","GS","img/gold-silver.png"
"9","412","GS","img/gold-silver.png"
"10","403","GS","img/gold-silver.png"
"11","340","SG","img/silver-gold.png"
"12","331","SG","img/silver-gold.png"
"13","322","SG","img/silver-gold.png"
"14","313","S","img/silver.png"
"15","304","S","img/silver.png"
"16","250","S","img/silver.png"
"17","241","S","img/silver.png"
"18","232","S","img/silver.png"
"19","160","S","img/silver.png"
"20","151","S","img/silver.png"
"21","142","S","img/silver.png"
"22","70","S","img/silver.png"
"23","61","S","img/silver.png"
"24","52","S","img/silver.png"
"25","223","SC","img/silver-copper.png"
"26","133","SC","img/silver-copper.png"
"27","43","SC","img/silver-copper.png"
"28","214","SC","img/silver-copper.png"
"29","124","CS","img/copper-silver.png"
"30","115","CS","img/copper-silver.png"
"31","34","CS","img/copper-silver.png"
"32","205","C","img/copper.png"
"33","106","C","img/copper.png"
"34","25","C","img/copper.png"
"35","16","C","img/copper.png"
"36","7","C","img/copper.png"
